EAN;Titre;Marque;Poids;Catégorie
3181231002050;10 EXTRA MOELLEUX DE BOEUF;Charal;1 Kg;Viande
3181231001732;10 HAMBURGER SPECIAL OIGNON;Charal;1kg;Viande
3282740599939;10 MINI CROUST STJ COGNAC.120G;Tipiak;120g;Poisson
3450970004541;10 PORTiONS COLIN ALASKA ECO+;ECO+;1kg;Poisson
3251510551002;10 SORBET PECHE/POM/FRAM OASIS;Oasis;500 ml;Glaces
3227061000023;10 STEACK HACHE PUR BOEUF;Charal;1kg;Viande
3273310346954;100 PETITS FOURS APERITIFS;Kauffer's;1kg;Entrée
3282740070391;11 GOUGERES TRUFFE 110G PXC;Tipiak;110 g;Légumes
3261088285025;12 ESCARGOT HP RECETTE CHABLIS;Escal;89 g;Viande
3450970090414;12 ESCARGOTS BOURG. BG LUCORUM;Eco+;89 g;Poisson
3261089225235;12 ESCARGOTS DE BOURGOGNE REC B;Escal;89 g;Viande
3564700860410;12 MACARONS PIST/CAF/CHOCO/FRAM;Marque Repère;154 g;Légumes
3261080113104;12 MINI-FEUIL.APERITIF VEGETAR.;Escal;360 g;Entrée
3261080672113;12 MOULES A CROQUER;Escal;180g;Entrée
3261081136256;12 TOASTS AUX ESCARGOTS;Escal;150g;Légumes
3599740008140;18 CROUSTIBAT CABILLAUD MSC 450;Findus;450 g;Poisson
3599741006305;18 Croustibat MSC;Findus;540g;Poisson
4008467054211;2 COEURS DE FILETS SAUMON;;;Poisson
3567890182201;2 DEMI LANGOUSTES CUITES;pescanova;350g;Poisson
3273310347302;2 FLAMMEKUECHES AU MUNSTER;Kauffer’s;;Pizza
3273310346756;2 FLAMMEKUECHES TARTIFLETTE;Kauffer's;640 g;Pizza
3599741005964;2 PAV S SAUMON ATLANTIQUE ASC 2;Findus;2 x 125g;Viande
3273310424102;2 TARTES FLAMBEES CHEVRE MIEL;Kauffer’s;;Pizza
3564700349830;20 CREPES JAMBON/FROMAGE;Marque Repère;1kg;Entrée
3599740000359;20 CROQUETTES AIL&FINES HER.1KG;Findus;1 kg;Poisson
3564700423707;20 MINI-FEUILLETES SAUCISS.350G;Marque Repère;350 g;Entrée
3599741006602;20 TRANCHES PANNEES MERLU MSC;Findus;;Poisson
